model_name,model_slug,limit,stratum,relative_risk
rdg__all__positive,RDG-T,50,pioneer__evidence_free,0.62
rdg__all__positive,RDG-T,60,all,3.649874854543703
rdg__all__positive,RDG-T,60,direct_evidence,5.023333333333333
rdg__all__positive,RDG-T,60,evidence_free,4.385582255288796
rdg__all__positive,RDG-T,60,known,3.6188103092394766
rdg__all__positive,RDG-T,60,known__direct_evidence,4.386111111111111
rdg__all__positive,RDG-T,60,known__evidence_free,4.439316979688874
rdg__all__positive,RDG-T,60,known__literature_only,4.3772643097643105
rdg__all__positive,RDG-T,60,literature_only,3.3208333333333333
rdg__all__positive,RDG-T,60,pioneer,2.1555555555555554
rdg__all__positive,RDG-T,60,pioneer__evidence_free,0.7000000000000001
rdg__all__positive,RDG-T,70,all,3.606955116807778
rdg__all__positive,RDG-T,70,direct_evidence,4.678835978835979
rdg__all__positive,RDG-T,70,evidence_free,4.516971367273266
rdg__all__positive,RDG-T,70,known,3.6659666440861636
rdg__all__positive,RDG-T,70,known__direct_evidence,4.533333333333333
rdg__all__positive,RDG-T,70,known__evidence_free,4.592226912554303
rdg__all__positive,RDG-T,70,known__literature_only,4.54537037037037
rdg__all__positive,RDG-T,70,literature_only,3.6954464285714286
rdg__all__positive,RDG-T,70,pioneer,4.557142857142857
rdg__all__positive,RDG-T,70,pioneer__evidence_free,0.3142857142857143
rdg__all__positive,RDG-T,80,all,3.6830765612247895
rdg__all__positive,RDG-T,80,direct_evidence,3.589351851851852
rdg__all__positive,RDG-T,80,evidence_free,4.834340926438348
rdg__all__positive,RDG-T,80,known,3.6413534951952142
rdg__all__positive,RDG-T,80,known__direct_evidence,5.7375
rdg__all__positive,RDG-T,80,known__evidence_free,5.0197257261184784
rdg__all__positive,RDG-T,80,known__literature_only,4.44286858974359
rdg__all__positive,RDG-T,80,literature_only,5.032159226190476
rdg__all__positive,RDG-T,80,pioneer,7.2
rdg__all__positive,RDG-T,80,pioneer__evidence_free,0.025
rdg__all__positive,RDG-T,90,all,3.7617391447637925
rdg__all__positive,RDG-T,90,direct_evidence,3.2592592592592595
rdg__all__positive,RDG-T,90,evidence_free,5.2354208411795655
rdg__all__positive,RDG-T,90,known,3.72831402864855
rdg__all__positive,RDG-T,90,known__direct_evidence,4.9
rdg__all__positive,RDG-T,90,known__evidence_free,5.328784632999147
rdg__all__positive,RDG-T,90,known__literature_only,4.406009615384615
rdg__all__positive,RDG-T,90,literature_only,4.245790711346267
rdg__all__positive,RDG-T,90,pioneer,5.066666666666667
rdg__all__positive,RDG-T,100,all,3.729353837274076
rdg__all__positive,RDG-T,100,direct_evidence,2.8222222222222224
rdg__all__positive,RDG-T,100,evidence_free,5.168698173195475
rdg__all__positive,RDG-T,100,known,3.785859550797859
rdg__all__positive,RDG-T,100,known__direct_evidence,4.2299999999999995
rdg__all__positive,RDG-T,100,known__evidence_free,5.293617956783167
rdg__all__positive,RDG-T,100,known__literature_only,4.3334375000000005
rdg__all__positive,RDG-T,100,literature_only,4.289181034482759
rdg__all__positive,RDG-T,100,pioneer,3.36
rdg__no_time__positive,RDG,10,all,4.098784890683858
rdg__no_time__positive,RDG,10,direct_evidence,4.283333333333333
rdg__no_time__positive,RDG,10,evidence_free,0.2153229781920784
rdg__no_time__positive,RDG,10,known,3.6306150097491052
rdg__no_time__positive,RDG,10,known__direct_evidence,3.456060606060606
rdg__no_time__positive,RDG,10,known__evidence_free,0.3444483393844008
rdg__no_time__positive,RDG,10,known__literature_only,2.1722325787975656
rdg__no_time__positive,RDG,10,literature_only,1.9842530897960762
rdg__no_time__positive,RDG,10,pioneer,1.4447166469893744
rdg__no_time__positive,RDG,10,pioneer__direct_evidence,0.6000000000000001
rdg__no_time__positive,RDG,10,pioneer__evidence_free,0.0
rdg__no_time__positive,RDG,10,pioneer__literature_only,0.5250000000000001
rdg__no_time__positive,RDG,20,all,2.7276677965795124
rdg__no_time__positive,RDG,20,direct_evidence,3.144861111111111
rdg__no_time__positive,RDG,20,evidence_free,0.5611444671713645
rdg__no_time__positive,RDG,20,known,2.6111607527203584
rdg__no_time__positive,RDG,20,known__direct_evidence,2.157763532763533
rdg__no_time__positive,RDG,20,known__evidence_free,0.5654395219927637
rdg__no_time__positive,RDG,20,known__literature_only,1.9243890297736452
rdg__no_time__positive,RDG,20,literature_only,1.791162562927269
rdg__no_time__positive,RDG,20,pioneer,1.0413636363636365
rdg__no_time__positive,RDG,20,pioneer__evidence_free,0.19999999999999998
rdg__no_time__positive,RDG,20,pioneer__literature_only,0.6
rdg__no_time__positive,RDG,30,all,2.4525337249887498
rdg__no_time__positive,RDG,30,direct_evidence,2.5683333333333334
rdg__no_time__positive,RDG,30,evidence_free,1.203868433678474
rdg__no_time__positive,RDG,30,known,2.381390364383082
rdg__no_time__positive,RDG,30,known__direct_evidence,2.3722222222222222
rdg__no_time__positive,RDG,30,known__evidence_free,1.200226978879004
rdg__no_time__positive,RDG,30,known__literature_only,1.637756018909865
rdg__no_time__positive,RDG,30,literature_only,1.5273192085692087
rdg__no_time__positive,RDG,30,pioneer,1.184994026284349
rdg__no_time__positive,RDG,30,pioneer__evidence_free,0.425
rdg__no_time__positive,RDG,40,all,2.268199505677917
rdg__no_time__positive,RDG,40,direct_evidence,2.5754464285714285
rdg__no_time__positive,RDG,40,evidence_free,1.286105225744117
rdg__no_time__positive,RDG,40,known,2.1075561273772583
rdg__no_time__positive,RDG,40,known__direct_evidence,2.0965277777777778
rdg__no_time__positive,RDG,40,known__evidence_free,1.2806952656429205
rdg__no_time__positive,RDG,40,known__literature_only,1.6780177514792902
rdg__no_time__positive,RDG,40,literature_only,1.4737363745125842
rdg__no_time__positive,RDG,40,pioneer,1.2785714285714287
rdg__no_time__positive,RDG,40,pioneer__evidence_free,0.25625
rdg__no_time__positive,RDG,50,all,1.9336752425519765
rdg__no_time__positive,RDG,50,direct_evidence,2.2693333333333334
rdg__no_time__positive,RDG,50,evidence_free,1.607359266264589
rdg__no_time__positive,RDG,50,known,1.8994052541573996
rdg__no_time__positive,RDG,50,known__direct_evidence,2.094909090909091
rdg__no_time__positive,RDG,50,known__evidence_free,1.6050793136790564
rdg__no_time__positive,RDG,50,known__literature_only,1.5814148586456278
rdg__no_time__positive,RDG,50,literature_only,1.4363913505848989
rdg__no_time__positive,RDG,50,pioneer,1.6300000000000001
rdg__no_time__positive,RDG,50,pioneer__evidence_free,0.31
rdg__no_time__positive,RDG,60,all,1.7761318459838895
rdg__no_time__positive,RDG,60,direct_evidence,2.1223076923076922
rdg__no_time__positive,RDG,60,evidence_free,1.7107830747601487
rdg__no_time__positive,RDG,60,known,1.8014416754026572
rdg__no_time__positive,RDG,60,known__direct_evidence,2.3642481279093297
rdg__no_time__positive,RDG,60,known__evidence_free,1.7089131289584902
rdg__no_time__positive,RDG,60,known__literature_only,1.5546857202626434
rdg__no_time__positive,RDG,60,literature_only,1.4519014139981883
rdg__no_time__positive,RDG,60,pioneer,1.1733333333333333
rdg__no_time__positive,RDG,60,pioneer__evidence_free,0.7000000000000001
rdg__no_time__positive,RDG,70,all,1.7411926684034689
rdg__no_time__positive,RDG,70,direct_evidence,2.253968253968254
rdg__no_time__positive,RDG,70,evidence_free,1.679736972073243
rdg__no_time__positive,RDG,70,known,1.7277728594457773
rdg__no_time__positive,RDG,70,known__direct_evidence,2.3482142857142856
rdg__no_time__positive,RDG,70,known__evidence_free,1.6805921354104132
rdg__no_time__positive,RDG,70,known__literature_only,1.4998838707080464
rdg__no_time__positive,RDG,70,literature_only,1.4611459968602827
rdg__no_time__positive,RDG,70,pioneer,1.864285714285714
rdg__no_time__positive,RDG,70,pioneer__evidence_free,0.3142857142857143
rdg__no_time__positive,RDG,80,all,1.7281793891503776
rdg__no_time__positive,RDG,80,direct_evidence,2.0458333333333334
rdg__no_time__positive,RDG,80,evidence_free,1.825075587690233
rdg__no_time__positive,RDG,80,known,1.7333595900751424
rdg__no_time__positive,RDG,80,known__direct_evidence,1.8828125
rdg__no_time__positive,RDG,80,known__evidence_free,1.8448818196579055
rdg__no_time__positive,RDG,80,known__literature_only,1.4718105332167832
rdg__no_time__positive,RDG,80,literature_only,1.1191592261904761
rdg__no_time__positive,RDG,80,pioneer,1.35
rdg__no_time__positive,RDG,80,pioneer__evidence_free,
rdg__no_time__positive,RDG,90,all,1.6753979725575723
rdg__no_time__positive,RDG,90,direct_evidence,1.6472222222222221
rdg__no_time__positive,RDG,90,evidence_free,1.813463330424868
rdg__no_time__positive,RDG,90,known,1.666834576433979
rdg__no_time__positive,RDG,90,known__direct_evidence,1.5208333333333333
rdg__no_time__positive,RDG,90,known__evidence_free,1.8245702320983856
rdg__no_time__positive,RDG,90,known__literature_only,1.1158112196445529
rdg__no_time__positive,RDG,90,literature_only,1.1827925469592138
rdg__no_time__positive,RDG,90,pioneer,0.9500000000000001
rdg__no_time__positive,RDG,100,all,1.6790159252560777
rdg__no_time__positive,RDG,100,direct_evidence,1.3283333333333336
rdg__no_time__positive,RDG,100,evidence_free,1.8464146234351195
rdg__no_time__positive,RDG,100,known,1.715210471856909
rdg__no_time__positive,RDG,100,known__direct_evidence,1.23125
rdg__no_time__positive,RDG,100,known__evidence_free,1.8617339095399141
rdg__no_time__positive,RDG,100,known__literature_only,0.9796253545134734
rdg__no_time__positive,RDG,100,literature_only,1.1156212266831078
rdg__no_time__positive,RDG,100,pioneer,0.9333333333333335
