models,therapeutic_area_name,roc_auc,average_precision,n_samples,n_positives,stratum
ots__all,reproductive system or breast disease,0.4992997198879552,0.09390862944162437,788,74,evidence_free
ots__all,respiratory or thoracic disease,0.49528301886792453,0.07423580786026202,458,34,evidence_free
ots__all,urinary system disease,0.5071443363015117,0.22902892561983473,560,121,evidence_free
p3_lambdarank,all,0.6263205746350935,0.11219002443518034,13770,1072,evidence_free
p3_lambdarank,biological process,0.0,0.006896551724137931,145,1,evidence_free
p3_lambdarank,cancer or benign tumor,0.5015237414236342,0.024600165418254303,2860,63,evidence_free
p3_lambdarank,cardiovascular disease,0.6201455381080045,0.5171418221183905,513,140,evidence_free
p3_lambdarank,disorder of visual system,0.5051124744376277,0.12161757247014504,341,15,evidence_free
p3_lambdarank,endocrine system disease,0.6475497159090909,0.0952799400673719,720,16,evidence_free
p3_lambdarank,gastrointestinal disease,0.5488915956151035,0.06924759186255235,846,25,evidence_free
p3_lambdarank,"genetic, familial or congenital disease",0.5956769497525558,0.1113737020387886,1609,152,evidence_free
p3_lambdarank,hematologic disease,0.5696512839369982,0.045730847469009836,798,21,evidence_free
p3_lambdarank,immune system disease,0.5189964157706093,0.04938708679574053,960,30,evidence_free
p3_lambdarank,infectious disease,0.44525761124121777,0.045968344114886324,451,24,evidence_free
p3_lambdarank,infectious disease or post-infectious disorder,0.44525761124121777,0.045968344114886324,451,24,evidence_free
p3_lambdarank,integumentary system disease,0.5109066121336059,0.09541280014700473,507,18,evidence_free
p3_lambdarank,musculoskeletal or connective tissue disease,0.5810637261414464,0.10139613748527251,618,39,evidence_free
p3_lambdarank,nervous system disease,0.4286266245170355,0.04302665070158791,1379,65,evidence_free
p3_lambdarank,nutritional or metabolic disease,0.5362869198312237,0.1756562554252546,247,10,evidence_free
p3_lambdarank,pancreas disease,0.9513274336283186,0.2111111111111111,115,2,evidence_free
p3_lambdarank,phenotype,0.6377582751710318,0.09327283058123552,528,29,evidence_free
p3_lambdarank,pregnancy or perinatal disease,0.19999999999999996,0.058823529411764705,21,1,evidence_free
p3_lambdarank,psychiatric disorder,0.15817401482637533,0.11721174748118972,288,55,evidence_free
p3_lambdarank,reproductive system or breast disease,0.7970512529336059,0.2514412861834719,788,74,evidence_free
p3_lambdarank,respiratory or thoracic disease,0.5594478357380688,0.0789946805166755,458,34,evidence_free
p3_lambdarank,urinary system disease,0.42577985278337316,0.17764808781612879,560,121,evidence_free
rdg__all__positive,all,0.7596298512164332,0.22004021089411652,13770,1072,evidence_free
rdg__all__positive,biological process,0.8402777777777778,0.041666666666666664,145,1,evidence_free
rdg__all__positive,cancer or benign tumor,0.7402233685751741,0.05557683427725254,2860,63,evidence_free
rdg__all__positive,cardiovascular disease,0.8552757564151666,0.5672567472377277,513,140,evidence_free
rdg__all__positive,disorder of visual system,0.49570552147239266,0.042751119210704416,341,15,evidence_free
rdg__all__positive,endocrine system disease,0.7507990056818182,0.07305196210753144,720,16,evidence_free
rdg__all__positive,gastrointestinal disease,0.7356638246041414,0.09736829000226456,846,25,evidence_free
rdg__all__positive,"genetic, familial or congenital disease",0.8882910992305746,0.5295028675188793,1609,152,evidence_free
rdg__all__positive,hematologic disease,0.8027210884353742,0.08279248835763385,798,21,evidence_free
rdg__all__positive,immune system disease,0.7534946236559139,0.07032850272894159,960,30,evidence_free
rdg__all__positive,infectious disease,0.6763270882123341,0.09192185274855107,451,24,evidence_free
rdg__all__positive,infectious disease or post-infectious disorder,0.6763270882123341,0.09192185274855107,451,24,evidence_free
rdg__all__positive,integumentary system disease,0.7177914110429449,0.06628962753049478,507,18,evidence_free
rdg__all__positive,musculoskeletal or connective tissue disease,0.3477923918338426,0.05119205391517513,618,39,evidence_free
rdg__all__positive,nervous system disease,0.7350134644655193,0.0858351191264712,1379,65,evidence_free
rdg__all__positive,nutritional or metabolic disease,0.7217299578059071,0.24287960063114863,247,10,evidence_free
rdg__all__positive,pancreas disease,0.9601769911504424,0.5909090909090909,115,2,evidence_free
rdg__all__positive,phenotype,0.7777624213945132,0.15595435922126366,528,29,evidence_free
rdg__all__positive,pregnancy or perinatal disease,0.09999999999999998,0.05263157894736842,21,1,evidence_free
rdg__all__positive,psychiatric disorder,0.6545064377682402,0.23823780450189241,288,55,evidence_free
rdg__all__positive,reproductive system or breast disease,0.9200734347793171,0.5390058504479543,788,74,evidence_free
rdg__all__positive,respiratory or thoracic disease,0.4345865704772475,0.06223539645012858,458,34,evidence_free
rdg__all__positive,urinary system disease,0.955157288352567,0.8244403952081376,560,121,evidence_free
